"Area","FYear","Quarter","Species","Landed_kg","Released_kg","NumQuarterc","QuarterIDc","TotalCatch"
"5CD",1956,"Apr-Jun",222,752068.8,0,1,19561,752068.8
"5CD",1956,"Jul-Sep",222,177130.8,0,2,19562,177130.8
"5CD",1956,"Oct-Dec",222,43318.8,0,3,19563,43318.8
"5CD",1956,"Jan-Mar",222,1045094.4,0,4,19564,1045094.4
"5CD",1957,"Apr-Jun",222,658400.4,0,1,19571,658400.4
"5CD",1957,"Jul-Sep",222,132224.4,0,2,19572,132224.4
"5CD",1957,"Oct-Dec",222,483537.6,0,3,19573,483537.6
"5CD",1957,"Jan-Mar",222,1977015.6,0,4,19574,1977015.6
"5CD",1958,"Apr-Jun",222,1980871.2,0,1,19581,1980871.2
"5CD",1958,"Jul-Sep",222,537062.4,0,2,19582,537062.4
"5CD",1958,"Oct-Dec",222,706935.6,0,3,19583,706935.6
"5CD",1958,"Jan-Mar",222,2476656,0,4,19584,2476656
"5CD",1959,"Apr-Jun",222,880210.8,0,1,19591,880210.8
"5CD",1959,"Jul-Sep",222,1168700.4,0,2,19592,1168700.4
"5CD",1959,"Oct-Dec",222,599205.6,0,3,19593,599205.6
"5CD",1959,"Jan-Mar",222,867283.2,0,4,19594,867283.2
"5CD",1960,"Apr-Jun",222,542505.6,0,1,19601,542505.6
"5CD",1960,"Jul-Sep",222,760233.6,0,2,19602,760233.6
"5CD",1960,"Oct-Dec",222,189604.8,0,3,19603,189604.8
"5CD",1960,"Jan-Mar",222,898581.6,0,4,19604,898581.6
"5CD",1961,"Apr-Jun",222,383065.2,0,1,19611,383065.2
"5CD",1961,"Jul-Sep",222,223171.2,0,2,19612,223171.2
"5CD",1961,"Oct-Dec",222,110678.4,0,3,19613,110678.4
"5CD",1961,"Jan-Mar",222,803779.2,0,4,19614,803779.2
"5CD",1962,"Apr-Jun",222,193687.2,0,1,19621,193687.2
"5CD",1962,"Jul-Sep",222,561103.2,0,2,19622,561103.2
"5CD",1962,"Oct-Dec",222,130636.8,0,3,19623,130636.8
"5CD",1962,"Jan-Mar",222,1170288,0,4,19624,1170288
"5CD",1963,"Apr-Jun",222,904932,0,1,19631,904932
"5CD",1963,"Jul-Sep",222,627328.8,0,2,19632,627328.8
"5CD",1963,"Oct-Dec",222,224985.6,0,3,19633,224985.6
"5CD",1963,"Jan-Mar",222,900849.6,0,4,19634,900849.6
"5CD",1964,"Apr-Jun",222,2038478.4,0,1,19641,2038478.4
"5CD",1964,"Jul-Sep",222,1540425.6,0,2,19642,1540425.6
"5CD",1964,"Oct-Dec",222,747986.4,0,3,19643,747986.4
"5CD",1964,"Jan-Mar",222,1996747.2,0,4,19644,1996747.2
"5CD",1965,"Apr-Jun",222,2771042.4,0,1,19651,2771042.4
"5CD",1965,"Jul-Sep",222,3560760,0,2,19652,3560760
"5CD",1965,"Oct-Dec",222,730749.6,0,3,19653,730749.6
"5CD",1965,"Jan-Mar",222,1807142.4,0,4,19654,1807142.4
"5CD",1966,"Apr-Jun",222,5096649.6,0,1,19661,5096649.6
"5CD",1966,"Jul-Sep",222,2135548.8,0,2,19662,2135548.8
"5CD",1966,"Oct-Dec",222,480362.4,0,3,19663,480362.4
"5CD",1966,"Jan-Mar",222,1247400,0,4,19664,1247400
"5CD",1967,"Apr-Jun",222,1387108.8,0,1,19671,1387108.8
"5CD",1967,"Jul-Sep",222,1395273.6,0,2,19672,1395273.6
"5CD",1967,"Oct-Dec",222,1051444.8,0,3,19673,1051444.8
"5CD",1967,"Jan-Mar",222,1502323.2,0,4,19674,1502323.2
"5CD",1968,"Apr-Jun",222,2062972.8,0,1,19681,2062972.8
"5CD",1968,"Jul-Sep",222,728935.2,0,2,19682,728935.2
"5CD",1968,"Oct-Dec",222,111132,0,3,19683,111132
"5CD",1968,"Jan-Mar",222,1047816,0,4,19684,1047816
"5CD",1969,"Apr-Jun",222,1159401.6,0,1,19691,1159401.6
"5CD",1969,"Jul-Sep",222,679492.8,0,2,19692,679492.8
"5CD",1969,"Oct-Dec",222,72122.4,0,3,19693,72122.4
"5CD",1969,"Jan-Mar",222,659080.8,0,4,19694,659080.8
"5CD",1970,"Apr-Jun",222,301644,0,1,19701,301644
"5CD",1970,"Jul-Sep",222,276696,0,2,19702,276696
"5CD",1970,"Oct-Dec",222,101152.8,0,3,19703,101152.8
"5CD",1970,"Jan-Mar",222,507124.8,0,4,19704,507124.8
"5CD",1971,"Apr-Jun",222,557928,0,1,19711,557928
"5CD",1971,"Jul-Sep",222,364240.8,0,2,19712,364240.8
"5CD",1971,"Oct-Dec",222,47174.4,0,3,19713,47174.4
"5CD",1971,"Jan-Mar",222,339746.4,0,4,19714,339746.4
"5CD",1972,"Apr-Jun",222,707162.4,0,1,19721,707162.4
"5CD",1972,"Jul-Sep",222,1220184,0,2,19722,1220184
"5CD",1972,"Oct-Dec",222,421394.4,0,3,19723,421394.4
"5CD",1972,"Jan-Mar",222,544773.6,0,4,19724,544773.6
"5CD",1973,"Apr-Jun",222,1563105.6,0,1,19731,1563105.6
"5CD",1973,"Jul-Sep",222,1543600.8,0,2,19732,1543600.8
"5CD",1973,"Oct-Dec",222,351086.4,0,3,19733,351086.4
"5CD",1973,"Jan-Mar",222,363787.2,0,4,19734,363787.2
"5CD",1974,"Apr-Jun",222,1758153.6,0,1,19741,1758153.6
"5CD",1974,"Jul-Sep",222,2264824.8,0,2,19742,2264824.8
"5CD",1974,"Oct-Dec",222,377395.2,0,3,19743,377395.2
"5CD",1974,"Jan-Mar",222,845056.8,0,4,19744,845056.8
"5CD",1975,"Apr-Jun",222,2108332.8,0,1,19751,2108332.8
"5CD",1975,"Jul-Sep",222,1543600.8,0,2,19752,1543600.8
"5CD",1975,"Oct-Dec",222,482630.4,0,3,19753,482630.4
"5CD",1975,"Jan-Mar",222,1274162.4,0,4,19754,1274162.4
"5CD",1976,"Apr-Jun",222,1400263.2,0,1,19761,1400263.2
"5CD",1976,"Jul-Sep",222,1820296.8,0,2,19762,1820296.8
"5CD",1976,"Oct-Dec",222,520732.8,0,3,19763,520732.8
"5CD",1976,"Jan-Mar",222,424569.6,0,4,19764,424569.6
"5CD",1977,"Apr-Jun",222,877716,0,1,19771,877716
"5CD",1977,"Jul-Sep",222,1930975.2,0,2,19772,1930975.2
"5CD",1977,"Oct-Dec",222,288036,0,3,19773,288036
"5CD",1977,"Jan-Mar",222,363787.2,0,4,19774,363787.2
"5CD",1978,"Apr-Jun",222,987940.8,0,1,19781,987940.8
"5CD",1978,"Jul-Sep",222,568814.4,0,2,19782,568814.4
"5CD",1978,"Oct-Dec",222,180532.8,0,3,19783,180532.8
"5CD",1978,"Jan-Mar",222,559742.4,0,4,19784,559742.4
"5CD",1979,"Apr-Jun",222,1915099.2,0,1,19791,1915099.2
"5CD",1979,"Jul-Sep",222,2033035.2,0,2,19792,2033035.2
"5CD",1979,"Oct-Dec",222,186429.6,0,3,19793,186429.6
"5CD",1979,"Jan-Mar",222,1364428.8,0,4,19794,1364428.8
"5CD",1980,"Apr-Jun",222,1634320.8,0,1,19801,1634320.8
"5CD",1980,"Jul-Sep",222,1373500.8,0,2,19802,1373500.8
"5CD",1980,"Oct-Dec",222,166017.6,0,3,19803,166017.6
"5CD",1980,"Jan-Mar",222,1051898.4,0,4,19804,1051898.4
"5CD",1981,"Apr-Jun",222,1271440.8,0,1,19811,1271440.8
"5CD",1981,"Jul-Sep",222,728028,0,2,19812,728028
"5CD",1981,"Oct-Dec",222,128368.8,0,3,19813,128368.8
"5CD",1981,"Jan-Mar",222,513078.1094,0,4,19814,513078.1094
"5CD",1982,"Apr-Jun",222,820379.6607,0,1,19821,820379.6607
"5CD",1982,"Jul-Sep",222,599657.0806,0,2,19822,599657.0806
"5CD",1982,"Oct-Dec",222,132931.5976,0,3,19823,132931.5976
"5CD",1982,"Jan-Mar",222,955257.6431,0,4,19824,955257.6431
"5CD",1983,"Apr-Jun",222,1438689.558,0,1,19831,1438689.558
"5CD",1983,"Jul-Sep",222,253771.2057,0,2,19832,253771.2057
"5CD",1983,"Oct-Dec",222,67136.44198,0,3,19833,67136.44198
"5CD",1983,"Jan-Mar",222,534100.0635,0,4,19834,534100.0635
"5CD",1984,"Apr-Jun",222,579816.7468,0,1,19841,579816.7468
"5CD",1984,"Jul-Sep",222,433349.3604,0,2,19842,433349.3604
"5CD",1984,"Oct-Dec",222,200959.3577,0,3,19843,200959.3577
"5CD",1984,"Jan-Mar",222,503811.1222,0,4,19844,503811.1222
"5CD",1985,"Apr-Jun",222,349288.7599,0,1,19851,349288.7599
"5CD",1985,"Jul-Sep",222,131059.1491,0,2,19852,131059.1491
"5CD",1985,"Oct-Dec",222,80228.1593,0,3,19853,80228.1593
"5CD",1985,"Jan-Mar",222,486450.6033,0,4,19854,486450.6033
"5CD",1986,"Apr-Jun",222,1411923.251,0,1,19861,1411923.251
"5CD",1986,"Jul-Sep",222,148774.3808,0,2,19862,148774.3808
"5CD",1986,"Oct-Dec",222,51384.83172,0,3,19863,51384.83172
"5CD",1986,"Jan-Mar",222,2103038.646,0,4,19864,2103038.646
"5CD",1987,"Apr-Jun",222,3514048.353,0,1,19871,3514048.353
"5CD",1987,"Jul-Sep",222,1637873.991,0,2,19872,1637873.991
"5CD",1987,"Oct-Dec",222,1614698.358,0,3,19873,1614698.358
"5CD",1987,"Jan-Mar",222,2739517.826,0,4,19874,2739517.826
"5CD",1988,"Apr-Jun",222,2315896.761,0,1,19881,2315896.761
"5CD",1988,"Jul-Sep",222,711415.6763,0,2,19882,711415.6763
"5CD",1988,"Oct-Dec",222,431877.4381,0,3,19883,431877.4381
"5CD",1988,"Jan-Mar",222,2715944.389,0,4,19884,2715944.389
"5CD",1989,"Apr-Jun",222,1642567.813,0,1,19891,1642567.813
"5CD",1989,"Jul-Sep",222,277002.6309,0,2,19892,277002.6309
"5CD",1989,"Oct-Dec",222,152612.2653,0,3,19893,152612.2653
"5CD",1989,"Jan-Mar",222,1354185.793,0,4,19894,1354185.793
"5CD",1990,"Apr-Jun",222,1360330.219,0,1,19901,1360330.219
"5CD",1990,"Jul-Sep",222,458219.1781,0,2,19902,458219.1781
"5CD",1990,"Oct-Dec",222,434146.3304,0,3,19903,434146.3304
"5CD",1990,"Jan-Mar",222,1143211.013,0,4,19904,1143211.013
"5CD",1991,"Apr-Jun",222,4614445.251,0,1,19911,4614445.251
"5CD",1991,"Jul-Sep",222,1316146.693,0,2,19912,1316146.693
"5CD",1991,"Oct-Dec",222,580814.2067,0,3,19913,580814.2067
"5CD",1991,"Jan-Mar",222,1172860.383,0,4,19914,1172860.383
"5CD",1992,"Apr-Jun",222,3070514.379,0,1,19921,3070514.379
"5CD",1992,"Jul-Sep",222,671213.8256,0,2,19922,671213.8256
"5CD",1992,"Oct-Dec",222,188490.4291,0,3,19923,188490.4291
"5CD",1992,"Jan-Mar",222,1292592.307,0,4,19924,1292592.307
"5CD",1993,"Apr-Jun",222,1854404.881,0,1,19931,1854404.881
"5CD",1993,"Jul-Sep",222,549041.0959,0,2,19932,549041.0959
"5CD",1993,"Oct-Dec",222,268891.8625,0,3,19933,268891.8625
"5CD",1993,"Jan-Mar",222,706499.5918,0,4,19934,706499.5918
"5CD",1994,"Apr-Jun",222,644585.4123,0,1,19941,644585.4123
"5CD",1994,"Jul-Sep",222,114193.0509,0,2,19942,114193.0509
"5CD",1994,"Oct-Dec",222,96930.05534,0,3,19943,96930.05534
"5CD",1994,"Jan-Mar",222,312052.9801,0,4,19944,312052.9801
"5CD",1995,"Apr-Jun",222,757785.9929,0,1,19951,757785.9929
"5CD",1995,"Jul-Sep",222,250168.2845,0,2,19952,250168.2845
"5CD",1995,"Oct-Dec",222,5217.726572,0,3,19953,5217.726572
"5CD",1995,"Jan-Mar",222,6893.39,293.94,4,19954,7187.33
"5CD",1996,"Apr-Jun",222,184122.61,17088.01,1,19961,201210.62
"5CD",1996,"Jul-Sep",222,338567.87,40630.68,2,19962,379198.55
"5CD",1996,"Oct-Dec",222,66098.82,6037.04,3,19963,72135.86
"5CD",1996,"Jan-Mar",222,480645.86,5203.29,4,19964,485849.15
"5CD",1997,"Apr-Jun",222,522058.35,45729.63,1,19971,567787.98
"5CD",1997,"Jul-Sep",222,157762.09,21125.05,2,19972,178887.14
"5CD",1997,"Oct-Dec",222,75812.52,5774.8,3,19973,81587.32
"5CD",1997,"Jan-Mar",222,359201.18,5888.82,4,19974,365090
"5CD",1998,"Apr-Jun",222,462736.2,15481.37,1,19981,478217.57
"5CD",1998,"Jul-Sep",222,232902.98,10449.19,2,19982,243352.17
"5CD",1998,"Oct-Dec",222,37970.61,2652.66,3,19983,40623.27
"5CD",1998,"Jan-Mar",222,109076.5,4167.68,4,19984,113244.18
"5CD",1999,"Apr-Jun",222,306801.14,15977.7,1,19991,322778.84
"5CD",1999,"Jul-Sep",222,152909.47,17025.94,2,19992,169935.41
"5CD",1999,"Oct-Dec",222,56086.6,4990.58,3,19993,61077.18
"5CD",1999,"Jan-Mar",222,60778.01,1450.66,4,19994,62228.67
"5CD",2000,"Apr-Jun",222,210326.88,5799.44,1,20001,216126.32
"5CD",2000,"Jul-Sep",222,167502.24,7723.04,2,20002,175225.28
"5CD",2000,"Oct-Dec",222,63338.34,4361.37,3,20003,67699.71
"5CD",2000,"Jan-Mar",222,53201.04,1725.54,4,20004,54926.58
"5CD",2001,"Apr-Jun",222,37122.16,4717.45,1,20011,41839.61
"5CD",2001,"Jul-Sep",222,20890.95,5502.21,2,20012,26393.16
"5CD",2001,"Oct-Dec",222,78518.74,18214.42,3,20013,96733.16
"5CD",2001,"Jan-Mar",222,46836.26,2328.39,4,20014,49164.65
"5CD",2002,"Apr-Jun",222,59020.44,17847.54,1,20021,76867.98
"5CD",2002,"Jul-Sep",222,45525.84,25897.91,2,20022,71423.75
"5CD",2002,"Oct-Dec",222,47630.47,23042.99,3,20023,70673.46
"5CD",2002,"Jan-Mar",222,46416.73,5145.09,4,20024,51561.82
"5CD",2003,"Apr-Jun",222,50284.23,13850.04,1,20031,64134.27
"5CD",2003,"Jul-Sep",222,90373.22,60139.25,2,20032,150512.47
"5CD",2003,"Oct-Dec",222,25819.41,7878.06,3,20033,33697.47
"5CD",2003,"Jan-Mar",222,190425.4,19570.31,4,20034,209995.71
"5CD",2004,"Apr-Jun",222,147330.5,25628.35,1,20041,172958.85
"5CD",2004,"Jul-Sep",222,67951.22,9630.68,2,20042,77581.9
"5CD",2004,"Oct-Dec",222,86780.89,16036.89,3,20043,102817.78
"5CD",2004,"Jan-Mar",222,194718.22,8225.56,4,20044,202943.78
"5CD",2005,"Apr-Jun",222,303684.47,13438.35,1,20051,317122.82
"5CD",2005,"Jul-Sep",222,171788.16,19443.79,2,20052,191231.95
"5CD",2005,"Oct-Dec",222,110106.6,19233.27,3,20053,129339.87
"5CD",2005,"Jan-Mar",222,97120.98,3648.26,4,20054,100769.24
"5CD",2006,"Apr-Jun",222,311195.38,5455.44,1,20061,316650.82
"5CD",2006,"Jul-Sep",222,74216.86,6894.66,2,20062,81111.52
"5CD",2006,"Oct-Dec",222,118401.1,3040.48,3,20063,121441.58
"5CD",2006,"Jan-Mar",222,162992.91,1769.03,4,20064,164761.94
"5CD",2007,"Apr-Jun",222,75631.47,1687.44,1,20071,77318.91
"5CD",2007,"Jul-Sep",222,28636.76,3745.33,2,20072,32382.09
"5CD",2007,"Oct-Dec",222,103464.99,1586.22,3,20073,105051.21
"5CD",2007,"Jan-Mar",222,86267.01,1451.98,4,20074,87718.99
"5CD",2008,"Apr-Jun",222,27016.39,649.53,1,20081,27665.92
"5CD",2008,"Jul-Sep",222,88766.37,1725.47,2,20082,90491.84
"5CD",2008,"Oct-Dec",222,30066.93,620.52,3,20083,30687.45
"5CD",2008,"Jan-Mar",222,128493.55,771.61,4,20084,129265.16
"5CD",2009,"Apr-Jun",222,147120.69,5101.6,1,20091,152222.29
"5CD",2009,"Jul-Sep",222,196488.99,9382.65,2,20092,205871.64
"5CD",2009,"Oct-Dec",222,53140.59,251.27,3,20093,53391.86
"5CD",2009,"Jan-Mar",222,139162.18,222.7,4,20094,139384.88
"5CD",2010,"Apr-Jun",222,458614.32,12934.22,1,20101,471548.54
"5CD",2010,"Jul-Sep",222,373027.1,16076.72,2,20102,389103.82
"5CD",2010,"Oct-Dec",222,42549.5,513.44,3,20103,43062.94
"5CD",2010,"Jan-Mar",222,99853.68,180.08,4,20104,100033.76
"5CD",2011,"Apr-Jun",222,380275.89,2825.01,1,20111,383100.9
"5CD",2011,"Jul-Sep",222,312559.3,1133.54,2,20112,313692.84
"5CD",2011,"Oct-Dec",222,82458.42,410.49,3,20113,82868.91
"5CD",2011,"Jan-Mar",222,89377.96,80.73,4,20114,89458.69
"5CD",2012,"Apr-Jun",222,291240.97,4211.21,1,20121,295452.18
"5CD",2012,"Jul-Sep",222,284537.5,2678.98,2,20122,287216.48
"5CD",2012,"Oct-Dec",222,19210.72,320.68,3,20123,19531.4
"5CD",2012,"Jan-Mar",222,97763.1,415.46,4,20124,98178.56
